year,st,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,39,155681,192802,3589022,3494233,24623,12.942,19543,10.272,643681,198362,445319,5.677,18.421,455592,185670,269922,5.314,13.038,188089,5.383,26.077,12274,12476,63034
1978,40,52170,60471,793484,760738,10123,17.058,7871,13.263,186469,76396,110073,10.042,24.512,121318,53520,67798,7.035,15.947,65151,8.564,31.895,5688,5739,28129
1978,41,50090,57750,781924,728021,10638,19.092,6579,11.807,201896,71148,130748,9.773,27.732,94731,43074,51657,5.917,13.012,107165,14.72,26.024,4675,4703,23426
1978,42,177684,211809,3818000,3744927,25659,12.244,21159,10.097,693011,229612,463399,6.131,18.505,550121,239887,310234,6.406,14.69,142890,3.816,29.38,13484,13727,106296
1978,44,18055,20017,321090,310413,2461,12.448,1967,9.949,61497,20019,41478,6.449,19.811,40343,18190,22153,5.86,12.997,21154,6.815,25.993,1374,1381,8110
1978,45,44540,52502,912115,879351,8347,16.266,5977,11.647,173416,64587,108829,7.345,19.721,108853,46906,61947,5.334,12.379,64563,7.342,24.758,3939,3986,16574
1978,46,14253,15990,169632,161108,2318,14.784,1697,10.823,38343,13267,25076,8.235,23.8,21468,8174,13294,5.074,13.325,16875,10.474,26.65,1178,1185,4578
1978,47,67802,80481,1360038,1310738,12251,15.477,9606,12.135,281480,98828,182652,7.54,21.475,182448,85170,97278,6.498,13.919,99032,7.555,27.839,6452,6514,34325
1978,48,227903,278635,4378439,4161830,49692,18.338,34385,12.689,1105171,434158,671013,10.432,26.555,673430,293692,379738,7.057,16.181,431741,10.374,32.362,23338,23692,148449
1978,49,22971,26503,397127,371729,4934,19.209,3299,12.844,108835,43262,65573,11.638,29.278,58613,25120,33493,6.758,15.768,50222,13.51,31.535,2266,2298,12237
1978,50,10897,12075,157019,150827,1912,16.336,1171,10.005,34837,13040,21797,8.646,23.097,22890,12445,10445,8.251,15.176,11947,7.921,30.353,849,858,8367
1978,51,76442,92653,1491643,1434309,13945,15.4,9739,10.755,312801,110724,202077,7.72,21.808,199038,81302,117736,5.668,13.877,113763,7.932,27.754,6310,6407,34603
1978,53,71711,83882,1137543,1071368,15243,18.86,9120,11.284,280228,92003,188225,8.587,26.156,147330,63263,84067,5.905,13.752,132898,12.405,27.503,6261,6330,32936
1978,54,26590,30883,454912,451600,4209,13.752,3656,11.945,77929,27270,50659,6.039,17.256,70984,23000,47984,5.093,15.718,6945,1.538,31.437,2339,2359,10236
1978,55,78996,91138,1543666,1480734,12190,13.669,8268,9.271,281345,88388,192957,5.969,19.0,156151,62017,94134,4.188,10.546,125194,8.455,21.091,5647,5694,30664
1978,56,10321,11509,130739,119591,2241,20.13,1488,13.366,41998,15927,26071,13.318,35.118,19525,8516,11009,7.121,16.326,22473,18.792,32.653,1019,1031,4557
1979,01,56147,67009,1070302,1041619,9698,14.654,8043,12.153,221612,76499,145113,7.344,21.276,163706,62687,101019,6.018,15.717,57906,5.559,31.433,5561,5621,30694
1979,02,7315,8610,107568,107296,1674,19.664,1480,17.385,27307,10063,17244,9.379,25.45,26952,10304,16648,9.603,25.119,355,0.331,50.239,950,962,5524
1979,04,42568,51188,789457,744983,9190,18.476,6296,12.658,196386,71297,125089,9.57,26.361,107833,42861,64972,5.753,14.475,88553,11.887,28.949,4311,4392,24789
1979,05,37444,42775,591067,578657,6291,14.849,5474,12.921,110083,41537,68546,7.178,19.024,84866,32008,52858,5.531,14.666,25217,4.358,29.332,3991,4028,18579
1979,06,411682,492712,7957222,7623013,82898,17.28,56944,11.87,1806575,644282,1162293,8.452,23.699,1141130,453814,687316,5.953,14.97,665445,8.729,29.939,38567,39061,218515
1979,08,58649,67979,1005086,960647,11997,18.13,8382,12.667,232745,85384,147361,8.888,24.228,143359,59988,83371,6.245,14.923,89386,9.305,29.846,5747,5817,31223
1979,09,58321,66353,1240309,1200304,7895,12.106,5620,8.618,205147,66411,138736,5.533,17.091,124941,48364,76577,4.029,10.409,80206,6.682,20.818,3740,3762,19541
1979,10,10326,11924,227637,223299,1551,13.23,1149,9.801,34108,11905,22203,5.331,15.275,25405,8935,16470,4.001,11.377,8703,3.897,22.754,752,769,3630
1979,11,13087,14998,330578,318998,1875,12.643,1540,10.384,56375,14016,42359,4.394,17.673,33361,12740,20621,3.994,10.458,23014,7.214,20.916,1021,1036,6165
1979,12,175201,208353,2869752,2760894,36229,17.869,25017,12.339,657320,256780,400540,9.301,23.808,438481,188452,250029,6.826,15.882,218839,7.926,31.764,17489,17697,103903
1979,13,84862,103478,1692657,1655789,15632,15.368,12106,11.902,319946,123522,196424,7.46,19.323,246118,94549,151569,5.71,14.864,73828,4.459,29.728,8184,8272,44371
